Region,County,Municipality,BIN,Location,Feature Carried,Feature Crossed,Owner,Year Built or Replaced,Date of Last Inspection,Poor Status
1,Albany,Albany (City),1092462,0.5 MI NW JCT I90 & I787,90I 90I11013014,BROADWAY CTYST,NYSDOT,1967,05/09/2018,N
1,Albany,Albany (City),1092472,0.6 MI NW JCT I90 & I787,90I 90I11013014,NO.PEARL ST-RT 32,NYSDOT,1967,06/11/2018,N
1,Albany,Albany (City),1092471,0.6 MI NW JCT I90 & I787,90I 90I11013014,NO.PEARL ST. RT32,NYSDOT,1967,06/11/2018,N
1,Albany,Albany (City),1092451,0.3 MI NW JCT I90 & I787,90I 90I11013016,ERIE BLVD,NYSDOT,1967,12/18/2018,N
1,Albany,Albany (City),1092452,0.3 MI NW JCT I90 & I787,90I 90I11013016,ERIE BLVD.,NYSDOT,1968,12/18/2018,N
1,Albany,Albany (City),1092432,JCT I90 & I787,90I 90I11013018 EB,787IX,NYSDOT,1968,11/20/2018,N
1,Albany,Albany (City),1092431,JCT I90 & I787,90I 90I11013018 WB,787IX,NYSDOT,1967,11/20/2018,N
1,Albany,Albany (City),1092839,JCT I90 & HUDSON RIVER,90I 90I11013020,CSX TRANSPRTATION,NYSDOT,1968,12/17/2018,N
1,Albany,Albany (City),109283A,JCT I90 & HUDSON RIVER,90I 90I11013020,HUDSON RIVER BANK,NYSDOT,1968,08/11/2018,N
1,Albany,Albany (City),109283B,JCT I90 & HUDSON RIVER,90I 90I11013020,HUDSON RIVER BANK,NYSDOT,1968,08/12/2018,N
1,Albany,Albany (City),1025320,JCT RTE 443 & I87 TO I90,443,87IX,NYS Thruway Authority,1952,08/31/2018,N
1,Albany,Albany (City),1025310,RTE 443 OVER NORMANSKILL,443 443 11021237,MILL ROAD,NYSDOT,1996,10/30/2019,N
1,Albany,Albany (City),109299A,RAMP I787 NB - SO MALL WB,787 NB TO SXE WB,SOUTH MALL EXPWAY,NYSDOT,1973,10/05/2017,N
1,Albany,Albany (City),1092970,I787 SB RAMP & BROADWAY,787I SB to 9&20EB,787I787I11011018,NYSDOT,1972,12/10/2019,N
1,Albany,Albany (City),1049669,0.2 MI E JCT RT 9W & I787,787I787I11011004,TWY CONN WB RAMP,NYSDOT,1966,09/12/2018,N
1,Albany,Albany (City),1022479,JCT RT 32 & I787,787I787I11011008,SO.PEARL ST.RT.32,NYSDOT,1966,06/11/2018,N
1,Albany,Albany (City),1092992,I787 & B:WAY - D&H RWY,787I787I11011013,BROADWAY,NYSDOT,1973,12/05/2019,N
1,Albany,Albany (City),1092991,IN ALBANY,787I787I11011013,BROADWAY,NYSDOT,1973,11/09/2019,N
1,Albany,Albany (City),1092951,I787 & BWAY-QUAY ST CONN,787I787I11011021,BWAY-QUAY ST CONN,NYSDOT,1973,08/01/2019,N
1,Albany,Albany (City),1092952,I787 & BWAY-QUAY ST CONN,787I787I11011021,BWAY-QUAY ST CONN,NYSDOT,1973,08/01/2019,N
1,Albany,Albany (City),1092882,JCT I787 & CONRAIL/AMTRAK,787I787I11011025,RAMP TO CLINTON AVE.,NYSDOT,1970,12/20/2018,N
1,Albany,Albany (City),1092881,JCT I787 & CSX  RR/ AMTRA,787I787I11011025,RAMP TO CLINTON AVE.,NYSDOT,1970,12/20/2018,N
1,Albany,Albany (City),109299B,I787 NB TO DUNN BR RAMP,787NB TO SMX EB,TO QUAY ST-BRDWAY,NYSDOT,1973,12/14/2019,N
1,Albany,Albany (City),1060320,0.4 MI S JCT RTS 20 & 85,85   85 11012007,BERKSHIRE BLVD,NYSDOT,2008,08/07/2018,N
1,Albany,Albany (City),1073530,RAMP SE OVER I90,87I  SB TO 90I E,90I 90I11011000,NYSDOT,1989,10/07/2019,N
1,Albany,Albany (City),1073560,.1 MI N OF EXIT 24 OF I90,87I X SB RAMP,90IX,NYS Thruway Authority,1986,09/19/2019,N
1,Albany,Albany (City),5513561,INT 23 ON I87,87IX,87IX INT 23 RAMP,NYS Thruway Authority,1954,04/17/2019,N
1,Albany,Albany (City),5513570,WATER TUNNEL,87IX,CITY WATER TUNNEL,City,1954,07/17/2019,N
1,Albany,Albany (City),5513599,3 MI SE EXIT 24 ON I87,87IX,KRUMKILL RD,NYS Thruway Authority,1952,08/07/2018,N
1,Albany,Albany (City),5513549,.56 MI SE EXIT 23 OF I87,87IX,NORMANS KILL,NYS Thruway Authority,1954,12/12/2018,N
1,Albany,Albany (City),5513550,NB EXIT 23 RAMP OF I87,87IX NB OFF RAMP,NOONAN LANE,NYS Thruway Authority,1997,11/05/2019,N
1,Albany,Albany (City),5513562,INT 23 ON I87,87IX SB,INT 23 RAMP,NYS Thruway Authority,1954,04/17/2019,N
1,Albany,Albany (City),1078662,Jct I90 & Everett Rd,90I 90I11011034,CSX/AMTRAK,NYSDOT,2006,12/21/2018,N
1,Albany,Albany (City),1078661,Jct I90 & Everett Rd.,90I 90I11011034,CSX/Amtrak,NYSDOT,2006,12/21/2018,N
1,Albany,Albany (City),1092421,JCT I90 & I787,90I EB TO 787I N,787I787I11011038,NYSDOT,1968,11/19/2018,N
1,Albany,Albany (City),1092491,RAMP I90 EB OFF TO 9 NB,90I EB TO 9NB,90I 90I11013010,NYSDOT,1972,08/07/2019,N
1,Albany,Albany (City),1092422,JCT I90 & I787,90I WB TO 787I S,787I787I11011038,NYSDOT,1968,11/20/2018,N
1,Albany,Albany (City),1092492,RAMP I90 WB OFF TO 9 SB,90I WB TO 9SB,90I 90I11013010,NYSDOT,1972,08/07/2019,N
1,Albany,Albany (City),1050049,I87 RAMP TO I90,910D910D11011023,90IX,NYSDOT,1969,09/19/2018,N
1,Albany,Albany (City),1093209,JCT RTS 910D & 910F,910D910D11011023,910F910F11011005,NYSDOT,1968,09/13/2018,N
1,Albany,Albany (City),1073521,JCT I87 OVER I90,910F910F11011007,FR I87 S TO I90 E,NYSDOT,1985,05/02/2019,N
1,Albany,Albany (City),1073522,JCT I87 OVER I90,910F910F11011007,FR I87 S TO I90 E,NYSDOT,1986,05/03/2019,Y
1,Albany,Albany (City),1073512,JCT I87 OVER I90,910F910F11011008,FR I90 E TO I87 N,NYSDOT,1987,03/21/2019,N
1,Albany,Albany (City),1073511,JCT I87 OVER I90,910F910F11011008,FR I90E TO I87N,NYSDOT,1987,03/19/2019,N
1,Albany,Albany (City),1060340,.2 MI N JCT RTS 20 & 85,ACCESS CAMPUS RD,85  85 11012012,NYSDOT,2000,10/05/2018,N
1,Albany,Albany (City),1060350,.5 MI N JCT SH 20 & SH 85,ACCESS CAMPUS RD,85  85 11012015,NYSDOT,2000,10/24/2018,N
1,Albany,Albany (City),1093151,0.4 MI NW JCT 85 & 910D,ACCESS ROAD AB,WASHINGTON AVE,State - Other,1963,05/10/2018,N
1,Albany,Albany (City),1093152,0.4 MI NW JCT 85 & 910D,ACCESS ROAD BA,WASHINGTON AVE,State - Other,1963,05/10/2018,N
1,Albany,Albany (City),2256840,.8 MI NE JCT SH 32 & I787,ALBANY CITY ST'S,BEAVER RELIEF SWR,City,1900,12/23/2019,N
1,Albany,Albany (City),1092520,JCT I90 & US 9,ALBANY-SHAKER RD,US 9 AND RAMPS,NYSDOT,1969,10/26/2018,N
1,Albany,Albany (City),1093170,0.8 MI NW JCT 85 & 910D,CAMPUS ACCESS ROAD,CAMPUS-I90 CONN,State - Other,1963,06/11/2019,N
1,Albany,Albany (City),1034489,1.2 MI E JCT I90 & CR 156,CAMPUS CONNECTOR,90I 90I11011018,NYSDOT,1968,09/12/2018,N
1,Albany,Albany (City),109288C,JCT ORANGE ST & I787 NB,CLINT AVE TO I787,787IX,NYSDOT,1970,12/20/2018,N
1,Albany,Albany (City),109288D,JCT ORANGE ST & I787 SB,CLINTON AVE RAMP,WATER STREET,NYSDOT,1970,12/13/2018,N
1,Albany,Albany (City),1092579,1.4 MI SE JCT I90 & SH 5,CORP.WOODS BLVD,90I 90I11011037,NYSDOT,1972,09/12/2018,N
1,Albany,Albany (City),109294A,DOWNTOWN ALBANY,DUNN WB TO I787SB,787I787I11011019,NYSDOT,1973,12/10/2019,N
1,Albany,Albany (City),1092981,E.S.PLAZA RAMP & NB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12/10/2019,N
1,Albany,Albany (City),1092982,E.S.PLAZA & SB I787,EM ST PLZA ARTERY,787I787I11011011,NYSDOT,1972,12/10/2019,N
1,Albany,Albany (City),1034529,EXIT 5 OF I90,EVERETT ROAD,90I 90I11011031,NYSDOT,1965,08/23/2019,N
1,Albany,Albany (City),1095889,1.1 MI E JCT I90 & S.H.85,EVERETT ROAD,CSX TRANS/ AMTRAK,NYSDOT,1965,12/08/2019,N
1,Albany,Albany (City),1073540,EXIT 24 THRUWAY TO I87 NB,FR I90EB TO I87NB,90I 90I11011004,NYSDOT,1987,05/06/2019,N
1,Albany,Albany (City),1073190,.2 MI N JCT I90 + I87,FR I90WB TO I87NB,RENSSELAER LAKE,NYSDOT,1986,07/01/2019,N
1,Albany,Albany (City),1073500,I-87 SO.BD.TO I-90-EXIT 1,FROM 87I SO. BD.,RENSSELAER LAKE,NYSDOT,1987,04/09/2019,N
1,Albany,Albany (City),2200270,NORTHERN BLVD CITY ALBANY,HENRY JOHNSON BVD,SHERMAN STREET,City,1980,04/08/2019,N
1,Albany,Albany (City),1092442,0.3 MI N JCT I90 & I787,I787 NB to I90 WB,90IX           P,NYSDOT,1968,11/26/2019,N
1,Albany,Albany (City),109297A,I787 58 RAMP&BDWAY-ALBANY,I787 SB TO SMX WB,SM-OFF TO PEARL ST,NYSDOT,1973,07/25/2019,N
1,Albany,Albany (City),1092441,0.3 MI N JCT I90 & I787,I787 SB to I90 EB,90I MAIN LINE,NYSDOT,1968,11/30/2018,N
1,Albany,Albany (City),109288A,JCT I787 & MONTGOMERY ST,I787SB TO CLINTON,WATER ST,NYSDOT,1970,10/25/2017,N
1,Albany,Albany (City),109288B,I787 NB OFF CLINTON AVE,I787TO CLINTONAV,WATER STREET,NYSDOT,1970,12/12/2018,N
1,Albany,Albany (City),1092870,.2 MI W JCT I90 & US 5,I90WB TO SH 85 SB,PATROON CREEK,NYSDOT,1967,05/09/2019,N
1,Albany,Albany (City),1060310,0.8 MI S JCT RTS 20 & 85,KRUMKILL ROAD,85  85 11012002,NYSDOT,2000,10/05/2018,N
1,Albany,Albany (City),1092480,LOUDONVILLE RD & I90 RAMP,LOUDONVILLE ROAD,90I 90I11012011,NYSDOT,1970,09/27/2019,N
1,Albany,Albany (City),5513580,2.39MI NW INT23 ON I87,NEW SCOTLAND AVE,87IX,NYS Thruway Authority,1954,06/13/2018,N
1,Albany,Albany (City),1092550,0.9 MI NE JCT RTS 9 & 5,NO MANNING BLVD,9   9 11081024,NYSDOT,1971,07/18/2019,N
1,Albany,Albany (City),1092560,JCT I90 & NORTHERN BLVD,NORTHERN BLVD,90I 90I11013007,NYSDOT,1971,12/21/2018,N
1,Albany,Albany (City),1092539,JCT OF US 9 & SH 377,NORTHERN BLVD,9   9 11081033,NYSDOT,1970,05/06/2019,N
1,Albany,Albany (City),109298D,ON RAMP E S PLAZA EXP EB,ONRAMP TO SMX EB,OFFRAMP TO 787ISB,NYSDOT,1969,07/17/2019,N
1,Albany,Albany (City),1074940,GREEN- BROADWAY-QUAY CONN,QUAY STREET,HUDSON RIVER SHRE,NYSDOT,1969,11/15/2018,N
1,Albany,Albany (City),1073550,N OF EXIT 24 OVER I90,RAMP 87IX SB,90IX,NYS Thruway Authority,1986,08/28/2019,N
1,Albany,Albany (City),109254A,RAMP I90 EB OFF TO 9 SB,RAMP 90EB TO 9SB,CSX TRANS/ AMTRAK,NYSDOT,1971,11/10/2017,N
1,Albany,Albany (City),109254B,RAMP 9 NB TO I90 E&WB,RAMP 9NB TO 90EB,CSX TRANS/ AMTRAK,NYSDOT,1971,10/16/2019,N
1,Albany,Albany (City),109254C,RTE 9N & DRY GULLY-QUARRY,RAMP 9NB TO 90WB,VACANT LAND,NYSDOT,1971,05/17/2019,N
1,Albany,Albany (City),1092940,NB RMP US9 & 20 O/HDSN RV,RAMP DUNN- NBI787,ON RAMP NB I787,NYSDOT,1972,12/15/2019,N
1,Albany,Albany (City),109254D,RTE 9S & DRY GULLY-QUARRY,RAMP I90WB TO 9SB,VACANT LAND,NYSDOT,1971,05/16/2019,N
1,Albany,Albany (City),1073580,.2 MI W OF EXIT 24 TOLL,RAMP INT 24 EB OFF,90IXWB,NYS Thruway Authority,1987,07/08/2019,N
1,Albany,Albany (City),1073570,RAPP RD.OVER TWY.,RAPP ROAD OVER TWY,90IX,NYS Thruway Authority,1986,09/26/2019,N
1,Albany,Albany (City),1092511,RAMP RT 9 OFF TO I90 WB,RT9 NB TO 90I WB,90I 90I11013009,NYSDOT,1972,09/19/2019,N
1,Albany,Albany (City),1038650,ROUTE 155 OVER 90IX,Route 155,90IX,NYS Thruway Authority,1999,08/27/2019,N
1,Albany,Albany (City),1092850,.1 MI E JCT I90 & SH 85,SH 85 NB,PATROON CREEK,NYSDOT,1967,05/22/2018,N
1,Albany,Albany (City),1092860,.3 MI W JCT I90 & US 5,SH 85 NB TO I90WB,PATROON CREEK,NYSDOT,1967,05/22/2018,N
1,Albany,Albany (City),1092840,.1 MI W JCT I90 & SH 85,SH 85 SB,PATROON CREEK,NYSDOT,1967,05/22/2018,N
1,Albany,Albany (City),109298C,SO MALL EXP OFF TO I787NB,SMX EB TO 787NB,787I787I11011014,NYSDOT,1973,12/13/2019,N
1,Albany,Albany (City),109298B,ON RAMP I787 SB & MADISON,SMX EB TO 787SB,ON RAMP TO SMX EB,NYSDOT,1970,07/22/2019,N
1,Albany,Albany (City),109298A,RAMP SO MALL EXPRESS WB,SO MALL EXP WBOFF,TO SO MALL EXP WB,NYSDOT,1970,07/20/2019,N
1,Albany,Albany (City),1094132,CITY OF ALBANY SOUTH MALL,SOUTH MALL EXP,EAGLE STREET,NYSDOT,1976,08/02/2019,N
1,Albany,Albany (City),1094131,CITY OF ALBANY SOUTH MALL,SOUTH MALL EXP.,EAGLE STREET,NYSDOT,1976,08/02/2019,N
1,Albany,Albany (City),1092512,RAMP US 9 SB TO I90 EB,US 9 SB TO I90 EB,90I 90I11013009,NYSDOT,1972,09/19/2019,N
1,Albany,Albany (City),1060360,0.7 MI N JCT RTS 20 & 85,WASHINGTON AVENUE,85  85 11012016,NYSDOT,1962,10/24/2018,N
1,Albany,Albany (City),1093140,0.2 MI NW JCT 85 & 910D,WASHINGTON AVENUE,ACCESS ROAD B,State - Other,1963,12/13/2018,N
1,Albany,Albany (City),1093180,0.7 MI NW JCT 85 & 910D,WASHINGTON AVENUE,ACCESS ROAD B,State - Other,1963,08/30/2018,N
1,Albany,Albany (City),1093160,.7 MI NW JCT SH85 & 910D,WASHINGTON AVENUE,CAMPUS-I90 CONN.,State - Other,1963,06/11/2019,N
1,Albany,Albany (City),1092920,1.1 MI S JCT I90 & I787,WATER STREET,DELAWARE & HUDSON,NYSDOT,1970,10/13/2017,N
1,Albany,Albany (City),1079440,WASHINGTON AVE. EXT. OVER,Washington Ave.Ex,Fuller Rd,NYSDOT,2012,03/18/2019,N
1,Albany,Albany (City),1079450,Washington ave. ext. over,Washington Ave.Ex,Fuller rd. rounda,NYSDOT,2012,03/18/2019,N
1,Albany,Berne (Town),1038670,.7 MI N JCT S H 443 & 156,156 156 11011006,BEAVERDAM CREEK,NYSDOT,1964,05/07/2018,N
1,Albany,Berne (Town),1025260,5.7 MI SW JCT SH443&SH146,443  443 11021020,FOX CREEK,NYSDOT,1931,06/05/2019,Y
1,Albany,Berne (Town),1025270,JCT SH 443 & SH 156,443 443 11021033,FOX CREEK,NYSDOT,1973,11/08/2019,N
1,Albany,Berne (Town),1074500,.5 MI EAST OF EAST BERNE,443 443 11021073,FOX CREEK,NYSDOT,1963,06/13/2019,N
1,Albany,Berne (Town),3300880,HAMLET OF WEST BERNE,BRADT HOLLOW ROAD,FOX CREEK,County,1939,03/15/2019,N
1,Albany,Berne (Town),3300890,1 MI S OF WEST BERNE,CANADAY HILL ROAD,BRADT HLLOW CREEK,County,1949,05/15/2019,N
1,Albany,Berne (Town),3300860,.8 MI WEST OF EAST BERNE,"CR 2, COLE HILL RD.",FOX CREEK,County,1992,07/01/2019,N
1,Albany,Berne (Town),3300900,1.5 MILES SW OF BERNE,"CR 9, CANADAY HILL RD.",SWITZ KILL,County,1990,07/01/2019,N
1,Albany,Berne (Town),3300930,1.7 MI NW OF SOUTH BERNE,GIFFORD HOLLOW RD,SWITZ KILL,County,2008,05/16/2019,N
1,Albany,Berne (Town),3300960,1.3 MI NW OF SOUTH BERNE,GIFFORD HOLLOW RD,TRIB SWITZ KILL,County,1932,05/21/2019,N
1,Albany,Berne (Town),3300940,1.8 MI SW OF HUNTERSLAND,HUNTERSLAND ROAD,LITTLE SCHOHARIE CREEK,County,2017,04/06/2018,N
1,Albany,Berne (Town),2200130,2.0MI W OF EAST BERNE,KAEHLER LANE,FOX CREEK,Town,1978,08/21/2018,N
1,Albany,Berne (Town),3300920,1.9 M SW VILLAGE OF BERNE,RAVINE ROAD,SWITZ KILL,County,1997,07/17/2019,N
1,Albany,Berne (Town),3300910,1.2MI SW OF BERNE,SICKLE HILL ROAD,SWITZ KILL,County,1973,05/14/2018,N
1,Albany,Berne (Town),3301000,1 MI NW OF SOUTH BERNE,SWITZKILL ROAD,SWITZ KILL,County,1988,05/20/2019,N
1,Albany,Berne (Town),3300870,1.3 MI E OF WEST BERNE,SWITZKILL ROAD,FOX CREEK,County,1997,07/17/2019,N
1,Albany,Bethlehem (Town),1007570,1 MI S.JCT 9W < 396,9W  9W11051052,CSX TRANS/C P RWY,NYSDOT,1976,12/15/2019,Y
1,Albany,Bethlehem (Town),1007580,0.9 MI N JCT RTS 9W & 396,9W  9W11051071,VLOMAN KILL,NYSDOT,1941,07/03/2018,N
1,Albany,Bethlehem (Town),1022420,2.0 MI SW JT RT 32 & 910A,32  32 11041150,CSX TRANSPRTATION,NYSDOT,1991,11/13/2018,N
1,Albany,Bethlehem (Town),1022430,0.9 MI SW JT RT 32 & 910A,32  32 11041161,VOLMAN KILL CREEK,NYSDOT,1937,08/02/2018,N
1,Albany,Bethlehem (Town),1022450,.1 MI N JCT SH 32 & SH144,32  32 11041221,NORMANS KILL,NYSDOT,1996,04/25/2019,N
1,Albany,Bethlehem (Town),1060290,JCT S H 85 & NORMANS KILL,85  85 11011225,NORMANS KILL,NYSDOT,2001,08/30/2019,N
1,Albany,Bethlehem (Town),1060300,JCT.RTES 85<87I S.EXIT 24,85  85 11011240,87I 144.70,NYSDOT,1964,12/10/2018,N
1,Albany,Bethlehem (Town),1095909,.6 MI SE JCT SH85 & SH140,140 140 11011011,ALBANY CO. RAIL TRAIL,NYSDOT,1969,08/02/2019,N
1,Albany,Bethlehem (Town),1038120,1.6 MI N JCT RT 144 & 396,144 144 11021063,VLOMAN KILL,NYSDOT,1947,06/05/2018,N
1,Albany,Bethlehem (Town),1038130,.5 MI SE JCT SH144 & 910A,144 144 11021100,CSX TRANSPRTATION,NYSDOT,1930,11/21/2018,N
1,Albany,Bethlehem (Town),1007590,JCT RTS 9W & 32,32   32 11041211,9W   9W11051114,NYSDOT,1963,05/01/2019,N
1,Albany,Bethlehem (Town),1047480,1.4 MI SW JCT 9W < 396,396 396 11011031,COEYMANS CREEK,NYSDOT,1977,03/20/2019,Y
1,Albany,Bethlehem (Town),1047490,.7 MI SW JCT US9W & SH396,396 396 11011037,CSX TRANSPRTATION,NYSDOT,1990,12/07/2019,N
1,Albany,Bethlehem (Town),1047510,JCT RTE 396 & I87,396 396 11011064,87IX,NYS Thruway Authority,1952,09/18/2018,N
1,Albany,Bethlehem (Town),5053419,EXIT 24 THRUWAY & RTE 9W,87IX,9W 9W  11051117,NYS Thruway Authority,1952,06/28/2018,N
1,Albany,Bethlehem (Town),5513491,Exit 22 of 87IX,87IX (NB),RAMP INT 22,NYS Thruway Authority,1954,07/09/2018,N
1,Albany,Bethlehem (Town),5513492,EXIT 22 OF I90,87IX (SB),RAMP INT 22,NYS Thruway Authority,1954,07/09/2018,N
1,Albany,Bethlehem (Town),5513511,1.2 MI NW INT22 ON I87,87IX NB,CSX TRANSPRTATION,NYS Thruway Authority,1954,06/25/2019,N
1,Albany,Bethlehem (Town),5513512,1.2 MI NW INT 22 ON I87,87IX SB,CSX TRANSPRTATION,NYS Thruway Authority,1954,05/15/2019,N
1,Albany,Bethlehem (Town),1022440,0.5 MI E JCT RT 9W & 910A,910A,87I X,NYS Thruway Authority,1952,08/14/2019,N
1,Albany,Bethlehem (Town),1032660,0.4 MI NE JCT RTS 85&910E,910E910 11011003,NORMANS KILL,NYSDOT,2005,05/30/2019,N
1,Albany,Bethlehem (Town),5513500,.49 MI NW INT 22 ON I87,BEAVER DAM ROAD,87IX,NYS Thruway Authority,1954,05/08/2019,N
1,Albany,Bethlehem (Town),5513520,1.8 MI NW EXIT 22 OF I90,CLAPPER RD,87IX,NYS Thruway Authority,1954,08/03/2018,N
1,Albany,Bethlehem (Town),3301040,1.1 MI W OF SO BETHLEHEM,COUNTY ROAD 102,ONESQUETHAW CREEK,County,1934,03/19/2019,N
1,Albany,Bethlehem (Town),3301010,2.4 MILES NW OF SELKIRK,COUNTY ROAD 53,DOWERS KILL,County,2004,06/10/2019,N
1,Albany,Bethlehem (Town),3363610,2.2 MI N OF SO BETHLEHEM,COUNTY ROAD 55,VLOMAN KILL,County,1976,11/07/2019,N
1,Albany,Bethlehem (Town),3301050,1.8 MI N OF SELKIRK,COUNTY ROAD 55,VLOMAN KILL,County,1976,06/05/2019,N
1,Albany,Bethlehem (Town),2200210,1 MI SW OF SELKIRK,PICTUAY ROAD,COEYMANS CREEK,County,2014,04/02/2019,N
1,Albany,Bethlehem (Town),5513600,3.46MI NW INT 23 ON I87,RUSSELL ROAD,87I  X,NYS Thruway Authority,1954,04/18/2019,N
1,Albany,Bethlehem (Town),3301020,.1MI N OF SOUTH BETHLEHEM,SO.ALBANY RD CR53,ONESQUETHAW CRK,County,1949,05/17/2018,N
1,Albany,Bethlehem (Town),5513530,3.11MI NW INT22 ON I87,WEMPLE ROAD,87IX,NYS Thruway Authority,1954,04/16/2019,N
1,Albany,Coeymans (Town),1007560,2.7 MIS JCT RTS 9W & 396,9W  9W11051035,COEYMANS CREEK,NYSDOT,1985,05/15/2019,Y
1,Albany,Coeymans (Town),1074990,1.5MI E OF JUN 32 & 143,143 143 11011094,UNKNOWN STREAM,NYSDOT,1912,08/21/2018,N
1,Albany,Coeymans (Town),1038020,SH 143 IN COEYMANS HOLLOW,143 143 11011129,HANNACROIS CREEK,NYSDOT,1985,06/03/2019,N
1,Albany,Coeymans (Town),1038030,2.6 MI W JCT RTS 9W & 143,143 143 11011148,HANNACROIS CREEK,NYSDOT,2003,03/18/2019,N
1,Albany,Coeymans (Town),1079780,3.7 mi W Rt 9W,143 14311011136,Unnamed Creek,NYSDOT,2014,10/16/2018,N
1,Albany,Coeymans (Town),1038070,0.7 MI S JCT RT 143 & 144,144 144 11021001,HANNACROIS CREEK,NYSDOT,1931,04/25/2019,Y
1,Albany,Coeymans (Town),1038080,0.2 MI N JCT RT 143 & 144,144 144 11021010,COEYMANS CREEK,NYSDOT,2004,07/27/2018,N
1,Albany,Coeymans (Town),1038100,1.3 MI S JCT RTS 144 &396,144 144 11021035,CSX TRANS/C P RWY,NYSDOT,1998,11/13/2018,N
1,Albany,Coeymans (Town),5513329,1 MI N OF RAVENA,87IX,COEYMANS CREEK,NYS Thruway Authority,1954,09/11/2018,N
1,Albany,Coeymans (Town),5513339,2.5 MILES NORTH OF RAVENA,87IX,CSX RR/CAN PAC RR,NYS Thruway Authority,1954,11/19/2018,Y
1,Albany,Coeymans (Town),5513350,1.5 MI S OF SELKIRK,87IX,CSX TRANS/C P RWY,NYS Thruway Authority,1958,11/06/2019,N
1,Albany,Coeymans (Town),5513349,2.7 MILES NW OF RAVENA,90IX (Int 21A of 87IX),87IX,NYS Thruway Authority,1956,04/03/2019,N
1,Albany,Coeymans (Town),5038119,1.1 MI S JCT RT 144 & 396,90IX Berksh.Spur,144,NYS Thruway Authority,1958,05/30/2018,N
1,Albany,Coeymans (Town),3301070,.2 MI SW HAMLET OF ALCOVE,COUNTY ROAD 111,HANNACROIS CREEK,County,1928,04/26/2019,N
1,Albany,Coeymans (Town),3301080,IN HAMLET OF ALCOVE,COUNTY ROAD 111,HANNACROIS CREEK,County,1955,04/26/2019,N
1,Albany,Coeymans (Town),3301090,0.2 MI N HAMLET OF ALCOVE,COUNTY ROAD 111,HANNACROIS CREEK,County,1993,05/15/2018,Y
1,Albany,Coeymans (Town),3302920,1.5 MI SE S BETHLEHEM,KRUGER ROAD,COEYMANS CREEK,County,1970,03/20/2019,N
1,Albany,Coeymans (Town),2270320,.1MI W of inters W/RT143,MARSHALL  ROAD,HANNACROIS CK,Town,1939,10/30/2019,N
1,Albany,Coeymans (Town),3302980,1 MILE SW OF SELKIRK,OLD RAVENA ROAD,CSX TRANSPRTATION,Town,2011,10/10/2019,N
